"ticker";"ultimo";"previo";"repercusion"
"CAT";334.35;334.16;0.0568589897055296
"CB";284.35;291.03;-2.29529601759267
"CBAV.MC";32.4;31.8;1.88679245283018
"CCC.L";2396;2418;-0.909842845326716
"CCI";119.71;119.94;-0.19176254794064
"CFRZ.XC";118.65;118.85;-0.16827934371055
"CFT.SW";149.5;149;0.335570469798658
"CHKP";188.385;189.85;-0.771661838293391
"CI";356.25;358.1;-0.516615470538962
"CIE.MC";25.3;25.5;-0.784313725490193
"CIEN";52.88;52.81;0.132550653285363
"CK0.SG";71.7;72.8;-1.510989010989
"CL";105.745;106.84;-1.02489704230625
"CLNX.MC";36.12;35.94;0.500834724540901
"CMC.F";183.6;184.98;-0.746026597469994
"CMCS.VI";34.85;35.625;-2.17543859649122
"CMCSA";38.766;39.14;-0.955544200306598
"CME";216.92;218.48;-0.714024166971806
"CNA.L";117.4;119.5;-1.75732217573221
"CNC";72.78;71;2.50704225352113
"COL.MC";6.15;6.145;0.0813669650122178
"COLG.VI";95.86;97.29;-1.4698324596567
"COP";102.91;104;-1.04807692307693
"COP.DE";13.7;13.89;-1.36789056875451
"COR.LS";9.11;9.14;-0.328227571115986
"COST";894.245;894.29;-0.00503192476712913
"CRM";248.51;246.16;0.954663633409162
"CRWD";251.336;247.74;1.45152175668039
"CS.PA";35.3;34.96;0.97254004576658
"CSCO";48.74;48.79;-0.102480016396797
"CSX";33.215;33.51;-0.880334228588465
"CTPNV.AS";16.44;16.36;0.488997555012236
"CVS";55.555;56.94;-2.43238496663154
"CVX";137.925;138.23;-0.220646748173319
"CWK.L";4650;4685;-0.747065101387407
"DB1.DE";205.8;207.2;-0.675675675675665
"DBX";23.93;23.38;2.3524379811805
"DE";386.65;387.3;-0.167828556674421
"DG.PA";109.9;109.85;0.0455166135639612
"DGE.L";2434;2417;0.703351261894911
"DHR";271.66;274.72;-1.11386138613861
"DIS";87.97;88.4;-0.486425339366524
"DLN.L";2434;2446;-0.490596892886345
"DLR";158.185;156.76;0.909032916560354
"DNB.OL";212.2;214.7;-1.16441546343735
"DOM.MC";2.835;2.835;0
"DRI";156.4;155.61;0.507679455047871
"DRX.L";648;650.5;-0.384319754035357
"DTE.DE";26.26;26.11;0.574492531597097
"DUE.MU";18.13;17.94;1.05908584169452
"ECONB.BR";2.01;2.055;-2.18978102189783
"ED";103.61;104.97;-1.29560826902925
"EDP.LS";4.106;4.065;1.00861008610085
"EL";83.74;85.13;-1.63279689886057
"EL.PA";209.3;210.3;-0.475511174512601
"ELE.MC";19.675;19.69;-0.0761808024377886
"ELIS.PA";18.38;18.25;0.712328767123282
"ELV";541.24;544.15;-0.534779013139753
"EMR.F";90.05;89.69;0.401382539859515
"ENC.MC";2.9;2.902;-0.0689179875947699
"ENEL.MI";7.054;7.082;-0.395368539960457
"ENL.DE";7.056;7.082;-0.367127929963284
"ENO.MC";18;17.86;0.783874580067192
"ENPH";108.62;104.61;3.83328553675557
"EOAN.DE";13.435;13.47;-0.259836674090573
"EON.BD";5278;5278;0
"EQIX";860.995;864.78;-0.437683572700568
"ESF.VI";52.54;52.92;-0.718065003779294
"EVD.SG";87;87.45;-0.514579759862782
"EW";67.95;67.14;1.20643431635389
"EXC";39.16;39.05;0.281690140845069
"EXR";175.885;177.45;-0.881938574246265
"FER.MC";37.42;37.8;-1.00529100529099
"FERG.L";14350;14500;-1.03448275862069
"FGR.PA";95.52;95.58;-0.0627746390458279
"FLOW.AS";17.84;17.96;-0.668151447661475
"FORT.L";170.4;172.4;-1.16009280742459
"FP.VI";60.22;60.45;-0.380479735318452
"FRA.DE";47.2;47.26;-0.126957257723223
"FSLR";232.99;208.22;11.8960714628758
"FTK.DE";12.03;12.07;-0.331400165700091
"G.MI";24.97;24.98;-0.0400320256205027
"G14.MU";20.34;20.34;0
"GALP.LS";17.04;16.935;0.620017714791854
"GCO.MC";38.55;39.1;-1.4066496163683
"GE";165.95;166.98;-0.616840340160499
"GEN";25.87;25.9;-0.115830115830106
"GEST.MC";2.475;2.475;0
"GET.PA";16.235;16.12;0.713399503722075
"GILD";80.6;81.44;-1.03143418467584
"GLE.PA";21.79;21.805;-0.0687915615684502
"GLNG";31.265;31.02;0.78981302385558
"GM";44.28;44.82;-1.20481927710843
"GN.CO";160.55;158.5;1.29337539432177
"GOOG";151.68;150.01;1.11325911605894
"GRE.MC";34.1;33;3.33333333333334
"GRF.MC";9.808;9.228;6.28521889900304
"GS";468.61;467.13;0.316828291910179
"GSK.L";1654.5;1671;-0.987432675044883
"GUI.DE";28.985;28.9;0.294117647058826
"GXI.DE";103.6;103.9;-0.28873917228105
"HAG.F";29.96;30.14;-0.597213005972129
"HCA";388.64;386.43;0.571901767461113
"HD";369.05;370.87;-0.490737994445491
"HDM.DU";9.2;9.122;0.855075641306725
"HEI.DE";90.88;90.68;0.220555800617544
"HEIA.AS";82.36;81.86;0.610798924993892
"HIA1.MU";20.7;20.57;0.631988332523087
"HLN.L";394;394.8;-0.20263424518744
"HNK1.F";82.5;81.56;1.15252574791564
"HOT.DE";106.8;106.7;0.093720712277408
"HPE";16.3;16.1;1.24223602484472
"HSBA.L";649.1;649;0.0154083204930698
"HWDN.L";938.5;956;-1.83054393305439
"IAG.MC";2.29;2.278;0.526777875329237
"IBE.MC";13.36;13.34;0.149925037481256
"IBM";207.81;205.32;1.21274108708358
"ICOS.MI";14.62;14.84;-1.48247978436658
"IDR.MC";16.5;16.67;-1.01979604079185
"IESJ.F";21.8;22;-0.909090909090906
"IFX.DE";28.88;28.52;1.26227208976157
"ILMN";124.56;124.13;0.346411020704106
"INCH.L";814;824;-1.21359223300971
"INGA.AS";16.054;15.99;0.400250156347707
"INRN.SW";2525;2520;0.198412698412698
"INTC";19.165;18.98;0.974710221285557
"INVH";35.94;36.09;-0.415627597672501
"IQV";237.249;235.2;0.871173469387758
"ISRG";487;484.24;0.569965306459605
"ITKA.MU";58;57.5;0.869565217391304
"ITX.MC";48.38;46.28;4.53759723422645
"JAZZ";106.475;107.1;-0.583566760037348
"JNJ";165.5;167.38;-1.1231927350938
"JPM";205.465;205.56;-0.0462152169682812
"KARN.SW";260.5;261.5;-0.382409177820268
"KCR.HE";57.05;57.3;-0.43630017452007
"KER.PA";229.8;229.3;0.218054949847362
"KHC";35.005;35.52;-1.44988738738739
"KO";70.905;71.55;-0.901467505241085
"KPN.AS";3.755;3.746;0.240256273358246
"KRZ.IR";91.95;95.1;-3.31230283911671
"KTF.F";67.68;68.17;-0.718791257151232
"KYL.F";0.785;0.76;3.28947368421053
"LDO.MI";20.21;20.31;-0.492368291482018
"LEG.DE";92.84;94.02;-1.25505211657093
"LIN";462.535;463.72;-0.255542137496766
"LIN.DE";415;420.8;-1.37832699619772
"LLY";919.164;901.25;1.98768377253814
"LNG";176.305;177.77;-0.824098554311753
"LOG.MC";27.7;27.68;0.0722543352601141
"LOGI";84.68;85.19;-0.598661814766981
"LONNE.SW";542;545.8;-0.69622572370831
"LOR.F";370.2;375;-1.28
"LPE.PA";111.5;111.5;0
"LR.PA";98.7;97.82;0.899611531384185
"LRCX";747.22;731.56;2.14063098037073
"LSEG.L";10375;10375;0
"MA";484.675;488.02;-0.685422728576692
"MAP.MC";2.24;2.244;-0.17825311942959
"MAR";226.81;225.67;0.505162405282056
"MBG.DE";55.68;55.4;0.505415162454876
"MC.PA";607;612.4;-0.88177661659046
"MCD";287.58;291.27;-1.26686579462354
"MCM.MC";12.3;12.5;-1.59999999999999
"MCO";478;484.14;-1.26822819845499
"MDT";90.04;90.99;-1.04407077700845
"MET";74.29;74.63;-0.45558086560363
"META";508.09;504.79;0.653737197646537
"MMM";130.31;130.09;0.169113690521945
"MOV.F";50.02;49.37;1.31658902167309
"MRK";114.54;115.33;-0.68499089569062
"MRK.F";169.8;170.35;-0.322864690343401
"MRL.MC";11.36;11.53;-1.47441457068517
"MRO";25.915;26.22;-1.16323417238749
"MRVI";8.772;8.98;-2.3162583518931
"MRVL";73.88;71.6;3.18435754189944
"MS";96.335;96.62;-0.294969985510257
"MS-PF";25.4;25.42;-0.0786782061369124
