Fecha;Fondo;Ticker;accion;porcentaje;Modif_porc;Peso_absoluto;Precio;banco;cnmv
2024-09-11 12:58:10.594201;BOLSAESPANA;TUB.MC;TUBACEX EUR 630 1,48 154 0,35;1.48;0.005545286506469547;0.00820702402957493;2.72;IBERCAJA;NOSE
2024-09-11 12:58:10.594201;BOLSAESPANA;IAG.MC;INTERNATIONAL CONSOL EUR 2.166 3,64 1.728 2,59;1.46;0.005267778753292367;0.007690956979806855;2.29;IBERCAJA;NOSE
2024-09-11 12:58:10.594201;BOLSAESPANA;MRL.MC;MERLIN PROPERTIES EUR 549 1,15 490 1,03;1.42;-0.014744145706851687;-0.020936686903729393;11.36;IBERCAJA;NOSE
2024-09-11 12:58:10.594201;BOLSAESPANA;CIE.MC;CIE AUTOMOTIVE EUR 1.455 2,44 815 1,22;1.39;-0.007843137254901933;-0.010901960784313686;25.3;IBERCAJA;NOSE
2024-09-11 12:58:10.594201;BOLSAESPANA;IDR.MC;INDRA EUR 639 1,53 -- --;1.32;-0.010197960407918517;-0.013461307738452444;16.5;IBERCAJA;NOSE
2024-09-11 12:58:10.594201;BOLSAESPANA;SCYR.MC;SACYR EUR 733 1,54 679 1,42;1.32;0.00257898130238556;0.003404255319148939;3.11;IBERCAJA;NOSE
2024-09-11 12:58:10.594201;BOLSAESPANA;ROVI.MC;LABORATORIOS FARMA EUR 508 1,36 672 1,62;1.27;-0.017658600392413452;-0.022426422498365083;75.1;IBERCAJA;NOSE
2024-09-11 12:58:10.594201;BOLSAESPANA;COL.MC;COLONIAL EUR 1.032 2,16 1.003 2,10;1.23;0.0008136696501221777;0.0010008136696502785;6.15;IBERCAJA;NOSE
2024-09-11 12:58:10.594201;BOLSAESPANA;TLGO.MC;TALGO S.A. EUR 503 1,05 486 1,02;1.04;0.008746355685131138;0.009096209912536384;3.46;IBERCAJA;NOSE
2024-09-11 12:58:10.594201;BOLSAESPANA;MCM.MC;MIQUEL Y COSTAS EUR 993 2,08 949 1,99;0.97;-0.015999999999999945;-0.015519999999999945;12.3;IBERCAJA;NOSE
2024-09-11 12:58:10.594201;BOLSAESPANA;ALM.MC;LABORATORS ALMIRALL EUR 337 0,79 -- --;0.79;-0.014310246136233544;-0.0113050944476245;8.61;IBERCAJA;NOSE
2024-09-11 12:58:10.594201;BOLSAESPANA;GEST.MC;GESTAMP AUTOMOCION, EUR 246 0,58 -- --;0.58;0.0;0.0;2.475;IBERCAJA;NOSE
2024-09-11 12:58:10.594201;BOLSAESPANA;GRE.MC;GRENERGY RENOVABLES EUR 137 0,32 113 0,26;0.32;0.033333333333333375;0.01066666666666668;34.1;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;NOVO-B.CO;NOVO DKK 3.178 1,93 3.154 1,98;3.84;0.017365474694390547;0.0666834228264597;890.5;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;ROG.SW;ROCHE HOLDINGS CHF 2.350 2,69 -- --;3.11;-0.0003718854592784154;-0.001156563778355872;268.8;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;ASML.AS;ASM LITHOGRAPHY HOLD EUR 3.164 1,74 2.205 1,58;2.97;0.0380669144981413;0.11305873605947966;698.1;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;AZN.L;ASTRAZENECA GBP 2.089 1,15 3.828 2,74;2.72;-0.007899403514428503;-0.02148637755924553;12308.0;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;SAN.PA;SANOFI SA EUR 3.137 1,72 3.416 2,44;2.47;-0.009660920628906952;-0.023862473953400173;104.56;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;SHELL.AS;SHELL PLC EUR 1.540 1,66 -- --;2.46;-0.0028262676641729297;-0.006952618453865407;29.99;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;NESN.SW;NESTLE CHF 4.435 2,44 3.642 2,60;2.35;-0.006115515288788132;-0.01437146092865211;87.76;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;KYL.F;KERRY GROUP PLC EUR 3.863 1,18 -- --;2.34;0.03289473684210529;0.07697368421052637;0.785;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;FP.VI;TOTAL ENERGIES EUR;2.29;-0.0038047973531845154;-0.00871298593879254;60.22;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;HNK1.F;HEINEKEN;2.27;0.011525257479156422;0.026162334477685078;82.5;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;NG.L;National Grid PLC Nuevo Capital GBP;2.24;-0.0009587727708533077;-0.0021476510067114096;1042.0;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;MC.PA;LOUIS VUITTON EUR 2.329 1,41 2.095 1,31;1.97;-0.0088177661659046;-0.01737099934683206;607.0;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;HLN.L;HALEON PLC GBP 556 0,70 -- --;1.96;-0.0020263424518743955;-0.003971631205673815;394.0;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;OR.PA;LOREAL EUR 3.507 2,13 1.782 1,12;1.96;-0.023502854866551647;-0.04606559553844122;367.7;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;ORSTED.CO;ORSTED A DKK 3.581 2,17 -- --;1.96;0.05525540275049116;0.10830058939096267;429.7;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;CFT.SW;CIE FINANCIERE RIC CHF 1.120 1,41 1.164 1,12;1.94;0.003355704697986577;0.0065100671140939596;149.5;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;CK0.SG;COCA COLA EUROPAC EUR 1.445 1,81 -- --;1.94;-0.015109890109890032;-0.029313186813186662;71.7;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;IBE.MC;IBERDROLA EUR 2.469 1,50 1.694 1,06;1.94;0.0014992503748125618;0.0029085457271363696;13.36;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;NOVN.SW;NOVARTIS CHF 2.211 2,12 2.030 2,15;1.94;-0.013561380427082314;-0.026309078028539688;97.47;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;OCI.AS;OCI NV EUR 879 0,84 -- --;1.94;-0.010135135135135118;-0.019662162162162128;26.37;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;REP.MC;REPSOL SA EUR 2.108 2,27 -- --;1.94;0.0008609556607834512;0.0016702539819198952;11.625;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;RKT.L;RECKITT BENCKISER GBP 4.558 2,50 -- --;1.94;0.011285682673157778;0.02189422438592609;4570.0;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;RWE.DE;R.W.E AG EUR 1.327 2,43 1.718 4,32;1.94;-0.008154636061612685;-0.01581999395952861;32.84;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;UNC.MU;UCB SA EUR 711 0,81 -- --;1.94;-0.006485484867202047;-0.01258184064237197;160.85;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;GALP.LS;GALP ENERGIA EUR 1.267 1,59 1.554 1,49;1.59;0.006200177147918538;0.009858281665190476;17.04;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;RMS.PA;HERMES INTERNATIONAL EUR 974 1,12 -- --;1.44;0.004219409282700422;0.006075949367088607;1904.0;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;EL.PA;ESSILORLUXOTTICA EUR 3.267 2,31 4.989 2,76;1.43;-0.004755111745126011;-0.006799809795530195;209.3;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;LONNE.SW;LONZA GROUP CHF 1.141 1,43 1.802 1,73;1.43;-0.006962257237083098;-0.00995602784902883;542.0;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;SIE.DE;SIEMENS AG EUR 1.748 0,96 2.092 1,50;1.39;-0.0013550135501356692;-0.00188346883468858;162.14;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;ENEL.MI;ENEL SPA EUR 1.775 1,92 -- --;1.35;-0.003953685399604573;-0.005337475289466174;7.054;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;TEP.PA;TELEPERFORMANCE EUR 779 0,83 -- --;1.34;0.002890770183770402;0.003873632046252339;97.14;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;HSBA.L;HSBC HOLDINGS GBP 930 1,07 1.089 1,18;1.33;0.00015408320493069758;0.0002049306625578278;649.1;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;MTS.MC;ARCELOR MITTAL EUR 997 0,96 -- --;1.26;-0.0012677484787017535;-0.0015973630831642095;19.695;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;SU.PA;SCHNEIDER EUR 1.129 1,22 -- --;1.25;0.0006821282401091663;0.0008526603001364579;220.05;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;ALV.DE;ALLIANZ SE EUR 968 1,21 853 0,82;1.21;0.001413927182750209;0.0017108518911277527;283.3;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;SY1.BE;SYMRISE AG EUR 947 1,19 -- --;1.19;-0.0033181252592284654;-0.003948569058481874;120.15;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;VIE.PA;VEOLIA ENVIRONNEMENT EUR 932 1,01 -- --;1.15;-0.001355472721111579;-0.0015587936292783158;29.47;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;SAP.DE;SAP SE EUR 4.041 2,27 3.645 2,29;1.14;0.00976420484055259;0.011131193518229951;194.42;IBERCAJA;NOSE
2024-09-11 12:58:10.595170;BOLSAEUROPA;BNP.PA;BNP PARIBAS EUR 1.558 1,10 -- --;1.1;0.006915406883242195;0.007606947571566416;62.61;IBERCAJA;NOSE
