"fondo";"ticker";"porcentaje"
"BOLSAEUROPA";"BAYN.DE";0.84
"BOLSAESPANA";"BBVA.MC";7.55
"BOLSAEUROPA";"BC.MI";1.08
"SMALLCAPS";"BC8.DE";1.33
"SANIDAD";"BDX";0.91
"MEGATRENDS";"BDX.VI";2.58
"SMALLCAPS";"BFSA.DE";1.61
"NEWENERGY";"BFSA.MU";1.37
"SANIDAD";"BIIB";1.03
"BOLSAESPANA";"BKT.MC";4.68
"BOLSAUSA";"BLK";0.43
"BOLSAINTERNACIONAL";"BLK";0.54
"FINANCIERO";"BLK";3.23
"SMALLCAPS";"BLND.L";0.83
"BOLSAUSA";"BMY";0.54
"DIVIDENDO";"BMY";2.26
"SANIDAD";"BMY";2.46
"BOLSAEUROPA";"BNP.PA";1.1
"FINANCIERO";"BNP.PA";2.85
"SMALLCAPS";"BOSS.DE";0.82
"SMALLCAPS";"BOWL.L";1.32
"BOLSAINTERNACIONAL";"BRK-B";1.06
"BOLSAUSA";"BRK-B";2.28
"SANIDAD";"BSX";1.11
"BESTIDEAS";"BTI";4.83651748
"SMALLCAPS";"BVIC.L";1.95
"SECTORINMOBILIARIO";"BYG.L";1.89
"FINANCIERO";"C";1.29
"BOLSAUSA";"C";0.38
"BOLSAESPANA";"CABK.MC";4.85
"BOLSAESPANA";"CAF.MC";2.3
"SMALLCAPS";"CAF.MC";1.19
"MEGATRENDS";"CAP.PA";2.43
"BOLSAINTERNACIONAL";"CAP.PA";0.55
"TECNOLOGICO";"CAP.PA";2.4
"SMALLCAPS";"CASH.MC";1.3
"BOLSAUSA";"CAT";0.55
"FINANCIERO";"CB";1.71
"BESTIDEAS";"CBAV.MC";1.438870638
"SMALLCAPS";"CCC.L";1.39
"SECTORINMOBILIARIO";"CCI";2.22
"GLOBAL";"CFRZ.XC";1.77
"BOLSAEUROPA";"CFT.SW";1.94
"TECNOLOGICO";"CHKP";0.42
"SANIDAD";"CI";0.9
"BOLSAINTERNACIONAL";"CI";0.89
"SMALLCAPS";"CIE.MC";0.87
"BOLSAESPANA";"CIE.MC";1.39
"MEGATRENDS";"CIEN";2.81
"TECNOLOGICO";"CIEN";2.59
"BOLSAEUROPA";"CK0.SG";1.94
"GLOBAL";"CL";1.98
"BOLSAESPANA";"CLNX.MC";3.14
"GLOBAL";"CMC.F";0.88
"BOLSAUSA";"CMCS.VI";0.66
